007 PRECIOUS METALS INC	00000#N/A
JBG SMITH PPTYS	001527361
JD.COM INC  -ADR	001086016
JDA SOFTWARE GROUP INC	001006892
JDN REALTY CORP	000916836
JDS UNIPHASE CANADA LTD	001067555
JEFFBANKS INC	000904101
JEFFERSON BANCORP INC	001139354
JEFFERSON BANKSHARES	001222915
JEFFERSON BK PHILADELPHIA PA	000311100
JEFFERSON-PILOT CORP	001084411
JENSYN ACQUISITION CORP	000911264
JERNIGAN CAPITAL INC	001550971
JERRYS FAMOUS DELI INC	000948308
JERRYS INC	000053453
JERSEY CENTRAL POWER & LIGHT	001051683
JET ENERGY CORP	000943397
JIANGBO PHARMACEUTICALS INC	001474997
JIANPU TECH -ADR -REDH	001420439
JIAYUAN.COM INTL LTD	001511683
JIVE SOFTWARE INC	001612376
JM GLOBAL HOLDING CO	001428189
JMAR TECHNOLOGIES INC	000857953
JMU LTD -ADR	001551989
JNI CORP	001094087
JOHN D OIL AND GAS CO	001427616
JOHN HANCOCK MUTUAL LIFE	000857769
JOHNSON & JOHNSON	001007685
JOHNSTON COCA-COLA  -CL A	001054670
JONES ENERGY INC	001480919
JONES INTERCABLE  -LP-CL A	001236920
JONES PHARMA INC	000793613
JONES SPACELINK LTD  -CL A	000353796
JORDAN AMERICAN HLDGS INC	000936446
JORDAN PETE LTD CDA	001394842
JOUNCE THERAPEUTICS INC	001222197
JOURNAL COMMUNICATIONS INC	001232241
JOURNEY ENERGY INC	001426937
JP REALTY INC	000912080
JPMORGAN CHASE & CO	001325347
JPX GLOBAL INC	001498247
JPY HOLDINGS LTD	001506814
JTS CORP	000941167
JUMEI INTL HOLDING LTD  -ADR	001597680
JUNEX INC	001052079
JUNIATA VALLEY FINANCIAL CP	000714712
JUNIPER NETWORKS INC	001043604
JUNIPER PHARMACEUTICALS INC	001318862
JUNO ONLINE SERVICES INC	001018035
JUNO THERAPEUTICS INC	001190539
JUPAI HOLDINGS LTD -ADR	001320526
JURA ENERGY CORP	001374415
JURA ENERGY CORP-OLD	001374415
JYRA RESEARCH INC	001017334
K V PHARMACEUTICAL  -CL A	001125053
K-TRON INTERNATIONAL INC	001095832
K2M GROUP HOLDINGS INC	001144752
KADMON HOLDINGS INC	001236173
KAIZEN DISCOVERY INC	001356769
KALA PHARMECUTICAL INC	001479419
KALVISTA PHARMACEUTICALS	001198453
KANBAY INTERNATIONAL INC	001125011
KANSAS CITY LIFE INS CO	001280967
KANSAS GAS & ELECTRIC CO	001495551
KAPLAN INC	001117344
KARYOPHARM THERAPEUTICS INC	001270176
KASTEN CHASE APPLIED RSH LTD	001244745
KAT EXPLORATION INC	001252608
KATY INDUSTRIES INC	000054681
KAYAK SOFTWARE CORP	001312928
KAZIA THERAPEUTICS LTD	001162676
KB FINANCIAL GROUP	001105304
KB HOME	001580522
KBKIDS.COM INC	001103801
KBS REAL ESTATE INVESTMENT	001469822
KCS ENERGY INC	000832820
KELDON OIL CO	001403294
KELLER INDUSTRIES LTD	001236255
KELLEY OIL & GAS PTRS  -LP	000776818
KELLOGG CO	000055067
KELT EXPLORATION LTD	001143958
KEMMERER BOTTLING GROUP INC	001106777
KEMPER CORP	000810776
KEMPER CORP/DE	000860748
KEMPHARM INC	001434647
KENDALL SQUARE RESH CORP/DE	000883944
KENDLE INTERNATIONAL INC	001039151
KENEXA CORP	001114714
KENT INTL HOLDINGS INC	000728478
KENTEK INFORMATION SYS INC	001203393
KENTUCKY ELECTRIC STEEL INC	001529846
KENTUCKY MED INS CO  -CL A	001060189
KENTUCKY POWER	001090971
KENTUCKY UTILITIES CO	000055387
KEPCO-KOREA ELEC POWER CORP	001141447
KEPTEL INC	000819840
KERR ADDISON MINES LTD	000055450
KERR-MCGEE CORP	001409529
KERYX BIOPHARMACEUTICALS INC	001114220
KESTREL ENERGY INC	000312842
KETCH RESOURCES TRUST	001220968
KETCHUM & CO	001302333
KETTLE RESTAURANTS	001234246
KEURIG GREEN MOUNTAIN INC	001202345
KEY CENTURION BANCSHARES	001525735
KEY CO  -CL B	001225407
KEY PRODUCTION CO INC	000837290
KEYCORP	001169471
KEYCORP  -OLD	001169471
KEYNOTE SYSTEMS INC	001032761
KEYSTONE CAMERA PRODUCTS	000055618
KEYSTONE CONS INDUSTRIES INC	001087270
KEYSTONE ENERGY SERVICES INC	001053243
KEYSTONE FINANCIAL INC	000717809
KEYSTONE HERITAGE GROUP INC	000715366
KEYSTONE PROPERTY TRUST	000906113
KEYW HOLDING CORP	001487101
KEYWEST ENERGY CORP	000927081
KHANTY MANSIYSK OIL CORP	001114218
KICK ENERGY CORP	001258491
KICKING HORSE ENERGY INC	001441530
KIK TECHNOLOGY INTL INC	001109662
KILLAM APARTMENT REIT	001595320
KILROY REALTY CORP	001025996
KIMBALL ELECTRONICS INC	001088707
KIMBELL ROYALTY PARTNRS LP	000797329
KIMCO ENERGY CORP	001345170
KIMCO REALTY CORP	000879101
KIMSOUTH REALTY INC	000899757
KINAXIS INC	001103171
KINCORA COPPER LTD	001527038
KINDRED BIOSCIENCES INC	001216730
KING DIGITAL ENTERTAINMENT	001504922
KING PHARMACEUTICALS INC	001047699
KINGSPORT POWER CO	000055986
KINGSTONE COS INC	000033992
KINGSWAY FINANCIAL SVCS INC	001072627
KINGTONE WIRELESSINFO  -ADR	001324902
KINLOCH RESOURCES INC	001379241
KINSALE CAPITAL GROUP INC	001557789
KINTANA INC	001122646
KINTERA INC	001117119
KIRSHNER INTL INC	001120961
KIT DIGITAL INC	001110219
KITARA MEDIA CORP -OLD	001530960
KITE PHARMA INC	001331071
KIWIBOX COM INC	001605974
KKR & CO LP	001377779
KKR REAL ESTATE FIN TR INC	001406913
KLA-TENCOR CORP	000319201
KLM-ROYAL DUTCH AIRLINES	000056316
KLOX TECHNOLOGIES INC -REDH	001531191
KLR ENERGY ACQUISITION CORP	001593363
KMG AMERICA CORP	001299210
KMS INDUSTRIES INC	000056356
KNIGHT THERAPEUTICS INC	001330491
KNOVA SOFTWARE INC	001074882
KNOWLEDGE DATA SYSTEMS INC	001088640
KNOWLEDGE HOUSE INC	001430394
KNOWLEDGE MECHANICS GROUP	001304972
KNOWLEDGEWARE INC  -CL A	001489089
KODIAK OIL & GAS CORP	001322866
KOFAX IMAGE PRODUCTS INC	001045035
KOFAX LTD	001556884
KONAMI HOLDINGS CORP	001191141
KONARED CORP	001527355
KONGZHONG CORP -ADR	001285137
KONINKLIJKE KPN NV	001001474
KONINKLIJKE PHILIPS NV	000313216
KOO KOO ROO INC	000813856
KOOR INDUSTRIES LTD	000791531
KOPIN CORP	000771266
KOREA TELECOM-OLD	000892450
KOREA THRUNET CO LTD	001097714
KOS PHARMACEUTICALS INC	001018952
KOSAN BIOSCIENCES INC	001110206
KPNQWEST NV	001097566
KRAMONT REALTY TRUST	001111205
KRANZCO REALTY TRUST	000889427
KRATOS DEFENSE & SECURITY	001495333
KRELITZ INDUSTRIES INC	001241604
KRONOS INC	001257640
KRYSTAL CO	001584979
KT CORP	000892450
KU ENERGY CORP	000835715
KU6 MEDIA CO LTD  -ADR	001410956
KUBOO INC	001070471
KULICKE & SOFFA INDUSTRIES	001246727
KUPPER PARKER COMMUNICATIONS	001126034
KURA ONCOLOGY INC	001581705
KURE TECHNOLOGIES INC	001607443
KURZWEIL APPLIED INTEL INC	001209357
KUSHI MACROBIOTICS CORP	000934924
KUSTOM ELECTRONICS INC	001224085
KWG RESOURCES INC	000925721
KYOCERA CORP	000057083
KYPHON INC	001123313
KYTHERA BIOPHARMA INC	001492598
L S B BANCSHARES INC/SC	001314984
L-1 IDENTITY SOLUTIONS INC	001069208
L3 TECHNOLOGIES INC	001563927
LA JOLLA PHARMACEUTICAL CO	000920465
LA POINTE INDUSTRIES	001330521
LA QUINTA PROPERTIES INC	000314661
LABOPHARM INC	001284519
LABORATORIO CHILE SA	001483279
LABRADOR TECHNOLOGIES INC	001168235
LABTEC INC	001072912
LACLEDE STEEL CO	001182267
LADDER CAPITAL CORP	001577670
LAFAYETTE AMERN BANK & TRUST	001406730
LAGO RESOURCES LTD	001479188
LAGUNA RESOURCES NL	001369339
LAKE ARIEL BANCORP INC	000723878
LAKELAND FINANCIAL CORP	000721994
LAKESHORE BANCORP INC/IL	001582611
LAM RESEARCH CORP	000707549
LAMAR ADVERTISING CO  -CL A	000899045
LAMBERT COMMUNICATIONS INC	000913755
LANDACORP INC	001058177
LANDCADIA HOLDINGS INC	001396782
LANDMARK APRTMT TR INC -REDH	001347523
LANDMARK BANCORP INC/KS	001141688
LANDMARK BANCORP LA HABRA	001141688
LANDMARK BANCSHARES CORP	001141688
LANDMARK GRAPHICS CORP	000749510
LANDMARK LAND CO	001550019
LANDMARK SYSTEM CORP	001421135
LANDRYS RESTAURANTS INC	000908652
LANDS END INC -OLD	000799288
LANDS' END INC	001489036
LANDSING PACIFIC FUND	001500833
LANESBOROUGH REIT	001349622
LANGUAGEWARE NET CO LTD	000945321
LANNET DATA COMMUNICATIONS	001215693
LANNETT CO INC	000057725
LANTE CORP	001100370
LANTRONIX INC	001114925
LAPOLLA INDUSTRIES INC	000875296
LARCAN-TTC INC	000700800
LARGE SCALE BIOLOGY CORP	001108951
LARSCOM INC  -CL A	001024047
LASALLE HOTEL PROPERTIES	001053532
LASER INDUSTRIES LTD	000320637
LASER MORTGAGE MGMT INC	001046099
LASER PRECISION CORP	000312242
LASER RECORDING SYSTEMS INC	000855581
LASERCARD CORP	000030140
LASERGATE SYSTEM INC	000030140
LASERSCOPE	000851737
LASERSIGHT INC	001160812
LASON INC	001020616
LATEX RESOURCES INC	000754881
LATITUDE 360 INC	001620032
LATITUDE COMMUNICATIONS INC	001078425
LATOKA INC	001208605
LATTICE BIOLOGICS LTD	001165583
LATTICE INC	000350644
LATTICE SEMICONDUCTOR CORP	000855658
LAUNCH MEDIA INC	001076582
LAUREATE EDUCATION INC	001218384
LAUREATE EDUCATION INC  -OLD	001218384
LAURENTIAN BANK OF CANADA	001110799
LAURENTIAN CAPITAL CORP	000092342
LAURENTIAN GROUP CORP  -CL B	001410324
LAW ENFORCEMENT ASSOCS CORP	001165921
LAWSON SOFTWARE INC	001141517
LAWTER INTERNATIONAL INC	000058091
LAZARD LTD	001311370
LBP INC	000922984
LCI INDUSTRIES	001557598
LCI INTERNATIONAL INC	001557598
LDB CORP	001370196
LE GAGA HOLDINGS LTD  -ADR	001499506
LE PEEP RESTAURANTS INC	001463298
LEADFX INC	001111000
LEADING BRANDS INC	001578415
LEADINGSIDE INC	000875942
LEAF GROUP LTD	001139576
LEAP TECHNOLOGY INC	001480368
LEAP THERAPEUTICS INC	000110027
LEARMONTH & BURCHETT MGMNT	001001539
LEARN2.COM INC	001092917
LEARNING ANNEX INC	001047733
LEARNING CO	001003648
LEARNING CO INC	000719612
LEARNING TREE INTL INC	001002037
LECTEC CORP  -OLD	000949485
LEFT BEHIND GAMES INC	001140879
LEGACY HOTELS REAL ESTATE	001605511
LEGAL SOFTWARE SOLUTIONS INC	001585289
LEGALZOOM.COM INC  -REDH	001286139
LEGATO SYSTEMS INC	000859360
LEGEND PROPERTIES INC	000822829
LEGENT CORP	000845607
LEGG MASON INC	000704051
LEHMAN T H & CO INC	000721647
LEICA PLC  -ADR	001092916
LEIDOS HOLDINGS INC	001545666
LEINER (P) NUTRITIONAL PRODS	001553408
LEINER HEALTH PRODUCTS INC	001043055
LEISURE TECHNOLOGY INC	001068267
LEITCH TECHNOLOGY CORP	001111496
LENDINGCLUB CORP	 0001409970
LENNAR CORP	0000058696
LEO MOTORS INC	0001356564
LEO'S INDUSTRIES INC	00000#N/A
LERNOUT & HAUSPIE SPCH PD	001058446
LESCARDEN INC	000058822
LETCHWORTH INDEPENDENT BNSHR	000723323
LEUCROTTA EXPLORATION INC	001186811
LEVEL 3 COMMUNICATIONS INC	000794323
LEVEL ONE COMMUNICATIONS INC	001412707
LEXINFINTECH HLDG -ADR	001309482
LEXINGTON GLOBAL ASSET MGRS	001001540
LEXINGTON REALTY TRUST	000910108
LEXMARK INTL INC  -CL A	001060259
LGI HOMES INC	001550365
LGS GROUP INC	001070763
LHS GROUP INC	001032330
LIANLUO SMART LTD	001452195
LIBERATE TECHNOLOGIES	001085776
LIBERTY BANCORP INC/OK	001353268
LIBERTY BIOPHARMA INC	001171355
LIBERTY BROADBAND CORP	001611983
LIBERTY CORP	000059229
LIBERTY DIGITAL INC	001040449
LIBERTY FINANCIAL COS INC	000936372
LIBERTY GLOBAL PLC -CONSOL	001570585
LIBERTY INTERACTIVE -CONSOL	001504736
LIBERTY LATIN AMERICA LTD	001556646
LIBERTY MEDIA CORP  -CL A	001560385
LIBERTY NATIONAL BANCORP/KY	000316909
LIBERTY NATL BK HUNTINGTN CA	000797207
LIBERTY PROPERTY TRUST	000921112
LIBERTY TRIPADVISOR HOLDINGS	001322070
LIBERTY VENTURES	000898445
LICT CORP	001531618
LIFE PARTNERS GROUP INC	000886941
LIFE RE CORP	000890445
LIFE STORAGE INC	001556377
LIFE TECHNOLOGIES INC	000727737
LIFE USA HOLDING INC	001371199
LIFECO SPLIT CORP INC	000802677
LIFEF/X INC	001072914
LIFELINE SYSTEMS INC	000720195
LIFELOCK INC	001383871
LIFELOGGER TECHNOLOGIES CORP	001567771
LIFEPOINT INC	000910523
LIFERATE SYSTEMS INC	000937251
LIFESTREAM TECHNOLOGIES INC	001029738
LIFETIME PRODUCTS INC	001011510
LIFEVANTAGE CORP	000849146
LIFSCHULTZ INDS INC	001201180
LIGAND PHARMACEUTICAL INC	001255256
LIGHT MANAGEMENT GROUP INC	000768152
LIGHTING SCIENCE GROUP CORP	000866970
LIGHTINTHEBOX HLDG  -ADR	000866970
LIGHTNING ROD SOFTWARE INC	000866283
LIGHTSPAN INC	001097892
LIGHTWAVE LOGIC INC	001169000
LILLIAN VERNON CORP	000818008
LILLY (ELI) & CO	001234631
LIMELIGHT NETWORKS INC	001561202
LIMONEIRA CO	001342423
LIN BROADCASTING	001570510
LIN HOLDINGS CORP	001062707
LIN MEDIA LLC	001575571
LIN TELEVISION CORP	000931058
LINCOLN FINANCIAL CORP	000059532
LINCOLN NATIONAL CORP	000059558
LINDAS DIVERSIFED HLDGS-CL A	001568732
LINDATECH INC	001013277
LINE CORP	001401440
LINEAR GOLD CORP	001397678
LINEAR TECHNOLOGY CORP	001570608
LINK GROUP INC	001145237
LINKEDIN CORP	001271024
LINKSHARE CORP	001103886
LINMOR INC	001334387
LINNCO LLC	001549756
LION INC	000941179
LIONBRIDGE TECHNOLOGIES INC	001313789
LIPID SCIENCES INC	001112782
LIPIDVIRO TECH INC -OLD	001245982
LIPOCINE INC	001298850
LIPOSOME CO INC	000786557
LIQUENT INC	001082456
LIQUID HOLDINGS GROUP INC	001552378
LITE ACCESS TECHNOLOGIES INC	001486772
LITEL COMMUNICATIONS INC	001570275
LIVANOVA PLC	001553413
LIVE CURRENT MEDIA INC	001174843
LIVE MICROSYSTEMS INC	001383190
LIVE OAK BANCSHARES INC	001335258
LIVEPERSON INC	001102993
LIVEWORLD INC	001080088
LJL BIOSYSTEMS INC	001042162
LLOYDS BANKING GROUP PLC	001160106
LNB BANCORP INC	000737210
LNH REIT INC	000350206
LNR PROPERTY CORP	001043044
LOANCORE REALTY TR INC -REDH	001177587
LOCAL CORP	001259550
LOCATEPLUS HOLDINGS CORP	001160084
LOCH HARRIS INC	000766347
LODGENET INTERACTIVE CORP	000911002
LODGISTIX INC	001025758
LOEWS CORP	000060086
LOG ON AMERICA INC	001074927
LOGIBEC GPE INFORMATIQUE LTE	001569942
LOGIC DEVICES INC	000802851
LOGIC WORKS INC	000949871
LOGICVISION INC	001041418
LOGILITY INC	001043915
LOGIMETRICS INC  -CL A	000060128
LOGITECH INTERNATIONAL SA	001032975
LOGMEIN INC	001192530
LOIS/USA INC	000930004
LOISLAW.COM INC	001088820
LONDON INSURANCE GROUP INC	001055363
LONE STAR STEAKHOUSE SALOON	000883670
LONG BEACH HOLDINGS CORP	001160799
LONG BLOCKCHAIN CORP	001117092
LONGPORT INC	000919043
LOOKSMART GROUP INC	001345961
LORONIX INFORMATION SYS INC	001431427
LOTTO WORLD INC	000928403
LOTUS DEVELOPMENT CORP	000711761
LOTUS PACIFIC INC	000789945
LOUD TECHNOLOGIES INC	000946815
LOUDEYE CORP	001211288
LOUIS DREYFUS NAT GAS CORP	001321193
LOUISIANA LAND & EXPLORATION	001469958
LOXO ONCOLOGY INC	001379601
LOYALTYPOINT INC	001013690
LQ CORPORATION INC	001016613
LRG RESTAURANT GROUP INC	000746783
LRI HOLDINGS INC	001383875
LSI CORP	000703360
LSI LOGIC CORP CDA INC	000703360
LTC PROPERTIES INC	000887905
LTV CORP	000060731
LTV STEEL CO INC	000083264
LUBYS INC	000016099
LUCENT TECHNOLOGIES INC	001175530
LUFKIN INDUSTRIES INC	000060849
LUKE ENERGY LTD	000927081
LUKENS INC	001209256
LUMENA PHARMACEUTICALS -REDH	001008114
LUMENIS LTD	001004945
LUMENTUM HOLDINGS INC	001606493
LUMINANT WORLDWIDE CORP	001087322
LUMINENT INC	001119602
LUNA INNOVATIONS INC	001239819
LUNAR CORPORATION	000864906
LUSCAR OIL & GAS LTD	001168206
LUTHER BURBANK CORP - REDH	001475348
LUTHER MEDICAL PRODCTS	001410238
LUTHERAN BROTHERHOOD	001442667
LUXCEL GROUP INC	000826771
LUXOFT HOLDING INC	001090265
LVB ACQUISITION INC	001536974
LXE INC	000872865
LXR BIOTECHNOLOGY INC	000899504
LYCOS INC	001007992
LYDENBURG PLATINUM	001262647
LYNDEN ENERGY CORP	001318456
LYNX EXPLORATION CO	001346215
LYONS BANCORP INC	000816332
LYRIC ENERGY INC	000319420
LYRIS INC	001557000
M & A WEST INC	001025844
M & T BANK CORP	001592777
M I ACQUISITIONS INC	001569638
M III ACQUISITION CORP	000799292
M P G INVT LTD	001266646
M&F BANCORP INC	001327648
M/I HOMES INC	001327656
MABVAX THERAPEUTICS HLDGS	001177181
MACC PRIVATE EQUITIES INC	000923808
MACERICH CO	000912242
MACHEEZMO MOUSE RESTAURANTS	001523198
MACHINE TECHNOLOGY INC	000320654
MACK-CALI REALTY CORP	001051774
MACKAY LIFE SCIENCES INC	001558398
MACKENZIE FINANCIAL CORP	000919859
MACROCHEM CORP/DE	000743884
MACROCURE LTD	000743884
MACROGENICS INC	001125345
MACROMEDIA INC	000913949
MACRONIX INTL CO LTD	001009680
MADE2MANAGE SYSTEMS INC	001038271
MADGE NETWORKS NV	001002210
MADISON BANCSHARES GROUP LTD	000846809
MADISON OIL CO	001536651
MADRIGAL PHARMACEUTICALS INC	001341037
MAGELLAN PETROLEUM CORP	001384295
MAGIC CIRCLE ENERGY CORP	001381679
MAGIC RESTAURANTS INC	000837596
MAGIC SOFTWARE ENTERPRISES	001577632
MAGIN ENERGY INC	001546237
MAGMA DESIGN AUTOMATION INC	001065034
MAGNA GROUP INC	000036094
MAGNA-LAB INC  -CL A	001374016
MAGNUM HUNTER RESOURCES INC	000854271
MAGOR CORP	001572676
MAHANAGAR TELEPHONE NIGAM	001275219
MAHONING NATIONAL BANCORP	001344856
MAI SYSTEMS CORP	000760436
MAIN STREET BANCORP	001553603
MAIN STREET RESTAURANT GROUP	001513211
MAINE & MARITIMES CORP	001222497
MAINE YANKEE ATOMIC POWER CP	000061617
MAINSOURCE FINL GROUP INC	000720002
MAINSPRING INC	001017174
MAINSTREET FINANCIAL CP-OLD	001375017
MAIR HOLDINGS INC	000835768
MAJESCO	001215031
MAJESTIC ELECTR STORES INC	001295650
MAJOR DRILLING GRP INTL INC	001173658
MAKEMUSIC INC	000920707
MAKER COMMUNICATIONS INC	001050132
MAKISM 3D CORP	000924730
MALAN REALTY INVESTORS INC	000914735
MALLINCKRODT PLC	001567892
MALLON RESOURCES CORP	000837759
MAM SOFTWARE GROUP INC	001014785
MAMMOTH RESOURCES INC	000701304
MANAGEMENT ASSISTANCE LIQ TR	000785852
MANAGEMENT GRAPHICS INC	000782999
MANAGEMENT TECHNOLOGIES INC	000806566
MANATRON INC	000798736
MANHATTAN ASSOCIATES INC	001056696
MANHATTAN BAGEL CO INC	000914565
MANHATTAN BANCORP	001387632
MANHATTAN BRIDGE CAPITAL INC	000887550
MANHATTAN LIFE INS CO NEW	001589553
MANHATTAN NATIONAL CORP	001160006
MANNATECH INC	001056358
MANNING & NAPIER INC	000751173
MANNVILLE OIL & GAS LTD	001553381
MANTECH INTL CORP	000892537
MANUFACTURERS HANOVER CORP	001091730
MANUFACTURERS LIFE CAP CORP	000756913
MANUFACTURERS NATIONAL CORP	001284785
MANUGISTICS GROUP INC	000908440
MANULIFE FINANCIAL CORP	001086888
MAPAN ENERGY LTD	001337667
MAPCO INC	000062142
MAPI - PHARMA LTD  -REDH	001595380
MAPICS INC	000848551
MAPINFO CORP	000916238
MAPQUEST.COM INC	001078284
MARATHON OIL CORP	000101778
MARCAM SOLUTIONS INC	001040622
MARCONI PLC	001122133
MARGO CARIBE INC	000808493
MARIMBA INC	001078295
MARIN SOFTWARE INC	001389002
MARINA BIOTECH INC	001295340
MARINA BIOTECH INC -OLD	001295340
MARINE HARVEST ASA	001578526
MARINE MGMT SYSTEMS INC	001026311
MARINER ENERGY INC	001022345
MARINUS PHARMACEUTICALS INC	001267813
MARION MERRELL DOW INC	000062391
MARITIME ELECTRIC CO	001488123
MARK TWAIN BANCSHARES	001540004
MARKEL CORP	001389244
MARKET & RESEARCH CORP	001207212
MARKET AMERICA INC	000880121
MARKET GUIDE INC	000720462
MARKET LEADER INC	001105307
MARKETAXESS HOLDINGS INC	001278021
MARKETO INC	001346881
MARKETWATCH INC	001258655
MARKIT LTD	001283061
MARKWEST ENERGY PARTNERS LP	001166036
MARKWEST HYDROCARBON INC	001019756
MARNETICS BROADBAND TECH LTD	001012735
MARQUEST MEDICAL PRODS INC	001332728
MARQUETTE MEDICAL SYS	000275505
MARSAM PHARMACEUTICALS INC	000810590
MARSHALL & ILSLEY CORP	001096955
MART RESOURCES INC	001351456
MARVELL TECHNOLOGY GROUP LTD	001058057
MASIMO CORP	000937556
MASON RESOURCES CORPORATION	001168829
MASON-DIXON BANCSHARES INC	001223159
MASS MICROSYSTEMS INC	001117228
MASSACHUSETTS ELECTRIC CO	000063073
MASSACHUSETTS MUTUAL LIFE	000892292
MASSTOR SYSTEMS CORP	001069431
MAST THERAPEUTICS	001119074
MAST/KEYSTONE INC	001569873
MASTERS ENERGY INC	001602551
MATADOR PETROLEUM CORP	000827250
MATCH GROUP INC	001413457
MATEON THERAPEUTICS INC	001469887
MATERIALISE NV  -ADR	001091223
MATEWAN BANCSHARES INC	000742246
MATINAS BIOPHARMA HLDGS INC	001396270
MATRIA HEALTHCARE INC	001007228
MATRIKON INC	001162032
MATRIX PHARMACEUTICAL INC	001270568
MATRIXONE INC	000786998
MATRIXX INITIATIVES INC	001006195
MATTSON TECHNOLOGY INC	000928421
MAVENIR SYSTEMS INC	001361470
MAVERICK MINERALS CORP	001074929
MAX & ERMAS RESTAURANTS	001428799
MAX INTERNET COMM INC	001070781
MAXAR TECHNOLOGIES LIMITED	001046008
MAXCOM TELECOMUNICACIONES SA	001113306
MAXIM INTEGRATED PRODUCTS	001502018
MAXIMIZER SOFTWARE INC	001175493
MAXIMUM DYNAMICS INC	001166529
MAXIS INC	000943583
MAXPOINT INTERACTIVE INC	001098685
MAXTOR CORP	000711039
MAXUS ENERGY CORP	001409110
MAXUS REALTY TRUST INC	000748580
MAXX PETROLEUM LTD	001047821
MAXXIM MEDICAL INC	000858660
MAY & SPEH INC	001068796
MAYFLOWER BANCORP INC	001381639
MAYFLOWER GROUP INC/IN	000063506
MAYNARD OIL CO	000063528
MAZOR ROBOTICS LTD	001205531
MB FINANCIAL INC/MD	000908143
MBIA INC	000814585
MBNA CORP	000870517
MC INFORMATICS INC	001023767
MCAFEE INC	001134889
MCAFEE.COM CORP	000890801
MCARTHUR/GLEN REALTY CORP	001410658
MCCAW CELLULAR COMM  -CL A	000908893
MCCHIP RESOURCES INC	001194548
MCCORMICK & CO INC	001206624
MCCORMICK CAPITAL INC	001323231
MCDONALD'S CORP	001448258
MCFARLAND ENERGY INC	000063959
MCGAW INC  -CL A	000883498
MCGRAW-HILL EDUCATION  -REDH	000064040
MCGRAW-HILL RYERSON LTD	001589168
MCI COMMUNICATIONS	001013843
MCI INC	000723527
MCK COMMUNICATIONS INC	001093576
MCKEE INCOME REALTY TRUST	00000#N/A
MCKESSON CORP	001242845
MCLEODUSA INC  -CL A	000919943
MCM CORP	000275710
MCMORAN EXPLORATION CO	001021188
MCWHORTER TECHNOLOGIES INC	001424592
MCY.COM INC	001020669
MDC HOLDINGS INC	000773141
MDC PARTNERS INC	000876883
MDI INC	001450176
MDL INFORMATION SYSTEMS INC	000895330
MDSI MOBILE DATA SOLUTIONS	001180266
MEADOW GROUP INC	001055655
MEADOWBROOK INS GROUP INC	000064418
MEASUREX CORP	000778734
MECA SOFTWARE INC	001323361
MECHANICAL DYNAMICS	001269061
MECHANICS BANK/CA	001439743
MECON INC	001002524
MED-DESIGN CORP	000943736
MEDAMERICA PROPERTIES INC	001617512
MEDAREX INC	000874255
MEDASSETS INC	001254419
MEDCHEM PRODUCTS INC	001441973
MEDCO RESEARCH INC	000723385
MEDCOM USA INC	000907127
MEDCOMSOFT INC	001391760
MEDECISION INC	001121533
MEDEQUITIES REALTY TRUST INC	001172154
MEDEVA PLC	001165756
MEDEX INC -REDH	000064513
MEDGEN INC	001599964
MEDIA 100 INC	000713138
MEDIA GENERAL INC	000216539
MEDIA GENERAL INC  -OLD	000216539
MEDIABAY INC	001040973
MEDIAGRIF INTERACTIVE TECH	001369297
MEDIAMIND TECHNOLOGIES INC	001422671
MEDIAONE GROUP INC	000732718
MEDIASHIFT INC	001035467
MEDIATECHNICS CORP	001399694
MEDIC COMPUTER SYSTEMS INC	000885378
MEDICAL DYNAMICS INC	000216540
MEDICAL GRAPHICS CORP	001471803
MEDICAL MAKEOVER CP OF AMER	001083944
MEDICAL MANAGER CORP-OLD	000824104
MEDICAL MARKETING GROUP INC	001604964
MEDICAL NUTRITION USA INC	001259883
MEDICAL PROPERTIES INC	000803608
MEDICAL TECHNOLOGY PRODUCTS	000847464
MEDICAL TRANSCRIPTION BILLNG	001582982
MEDICALOGIC/MEDSCAPE INC	000923899
MEDICAN ENTERPRISES INC	001565830
MEDICHEM LIFE SCIENCES  INC	001458480
MEDICINES CO	001041924
MEDICIS PHARMACEUT CP  -CL A	001226616
MEDICONSULT.COM INC	001016134
MEDICUS SYSTEMS CORP	001394161
MEDIDATA SOLUTIONS INC	001118023
MEDIFAST INC	000910329
MEDIGUS	001239027
MEDIMMUNE INC	001331164
MEDINAH MINERALS INC	001459740
MEDIS EL LTD	000914272
MEDISOLUTION LTD	001333183
MEDISUN PRECISION MEDICINE L	001186519
MEDISYS TECHNOLOGIES INC	000898128
MEDITERRANEAN RESOURCES LTD	001403453
MEDITRUST CORP	000314661
MEDIVIX INC	001393763
MEDIWARE INFORMATION SYSTEMS	001193148
MEDIWOUND LTD	000874733
MEDLEY MANAGEMENT INC	001494091
MEDLINK INTERNATIONAL INC	001256051
MEDNET MPC CORP	000832485
MEDOVEX CORP	001357304
MEDPHONE CORP	001513910
MEDPLUS INC/OH	000922723
MEDRAD INC	001473377
MEDSCAPE INC	001014845
MEDSITE.COM INC	001100238
MEDSOURCE TECHNOLOGIES INC	001084726
MEDSTAT GROUP INC	001060602
MEDSTONE INTERNATIONAL INC	001456694
MEDTRONIC PLC	001256472
MEDWAVE INC	000876043
MEGAHERTZ HOLDING CORP	001201223
MELCOR REAL ESTATE INVT TR	001381640
MELDEX INTL PLC	001403217
MELLON FINANCIAL CORP	000064782
MELROSE BANCORP INC	001247023
